Puan,Yorum
1,yds ye uygun bir kitap
0,bir ogretmen olarak cok cok tavsiye etmedigim bir kitap acikcasi Bazi soylemleri pedagojik acidan dogru bulmuyorum Cocugunuza okutmadan once tum kitaplari once sizinde okumanizi tavsiye ederim
1,Zola nın romanlarını okuyasım geldi
1,Adem GÜneş in bütün kitaplarını severek okuyorum
0,kampanya alınır ancak para vermeye değmez
0,Harbiden bir koridor Ramazan okununca su bitiyor Ama anlaşılmıyor
1,deneme kitabı nazan bekiroğlu kaleminin güzelliği
0,Aldığıma pişman olduğum cep boyu formatında bir kitap
1,Demokrasinin doğusundan bugüne dünyanın Türkiye nin demokrasi sınavını olaylarla söylemlerle belgelere dayanarak anlatmis Sayın Öymen Tavsiye edilir
0,Ilave bi bakış açısı sunabilmiş değil değil yazık Kitaptaki bilgileri kolayca internet ortamında erişebilmek mümkün
0,Derin sevenler değil basit sade yüzeysel bir kitap
0,Aytul Akal Mavisel Yenerin bir cok kitabini okumus bir ogretmen olarak kitabi tavsiye etmiyorum Cocuklara verilmis bir tema oldugunu dusunmuyorum Okudugunuzda size bir anlam ifade etmeyen sadece cizimlerinin guzel oldugu bir kitap yazik
0,Dili asiri agdali
0,aldım bir iki sayfa okuduktan sonra bıraktım beğenmedim
0,Maalesef bir pesimist olarak zor bitirdim
1,iç karartıcı güzel bir kitap
0,Bir tarihçinin tarihçilik yönteminden böylesine uzak kitaplar yazması hayret verici Ele aldığı konular ilgi çekici olsa böylesine ciddi konuları denli temelsiz dayanaksız yazması tarih siyaset beklentilerini dan Brown kurgu romanları düzeyine düşürüyor
1,insanlığın ufkunu açan mükemmel bir kitap
0,Olumsuz örnek olacak davranışlar cinsellik içeren Mesajlar var bir çocuk kitabına yakışmayan resimlemeler ifadeler bulunuyor
1,serinin kitaplarını aldık Ve kitap güzel yazarın emeğine teşekkürler
1,vikingler konusunda cocuklarda merak uyandıran hayal gücüne yönelik bilişsel anlamda pozitif katkılar sağlayan kitap okunmadıkça anlamı kavranamaz
0,Elif Şafak ın kalitesinin altında
